,Date,Team,Acquired,Relinquished,Notes
1272,2020-03-06,Celtics,,Tremont Waters,placed on IL with sprained left knee
1273,2020-03-06,Hawks,,Trae Young,placed on IL with flu
1274,2020-03-06,Hawks,Dewayne Dedmon,,activated from IL
1275,2020-03-06,Heat,,Gabe Vincent,placed on IL
1276,2020-03-06,Knicks,Mitchell Robinson,,activated from IL
1277,2020-03-06,Lakers,Alex Caruso,,activated from IL
1278,2020-03-06,Magic,,Evan Fournier,placed on IL with sprained right elbow
1279,2020-03-06,Mavericks,,Dorian Finney-Smith,placed on IL with right hip injury
1280,2020-03-06,Mavericks,,Tim Hardaway Jr.,placed on IL with illness
1281,2020-03-06,Mavericks,Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
1282,2020-03-06,Pacers,,Doug McDermott,placed on IL with toe injury
1283,2020-03-06,Pacers,,Malcolm Brogdon,placed on IL with torn left quadriceps
1284,2020-03-06,Pacers,,T.J. Warren,placed on IL with left leg injury
1285,2020-03-06,Pacers,Victor Oladipo,,activated from IL
1286,2020-03-06,Pelicans,,J.J. Redick,placed on IL with strained left hamstring
1287,2020-03-06,Pelicans,Kenrich Williams,,activated from IL
1288,2020-03-06,Pistons,Bruce Brown,,activated from IL
1289,2020-03-07,Cavaliers,Alfonzo McKinnie,,activated from IL
1290,2020-03-07,Cavaliers,Tristan Thompson,,activated from IL
1291,2020-03-07,Hawks,Trae Young,,activated from IL
1292,2020-03-07,Kings,Richaun Holmes,,activated from IL
1293,2020-03-07,Nuggets,,Vlatko Cancar,placed on IL
1294,2020-03-07,Rockets,,Eric Gordon,placed on IL with sore right knee
1295,2020-03-07,Warriors,,Draymond Green,placed on IL with sore left knee
1296,2020-03-07,Warriors,,Stephen Curry,placed on IL with flu
1297,2020-03-08,Bucks,,Giannis Antetokounmpo,placed on IL with sprained left knee
1298,2020-03-08,Bucks,D.J. Wilson,,activated from IL
1299,2020-03-08,Bucks,George Hill,,activated from IL
1300,2020-03-08,Celtics,Gordon Hayward,,activated from IL
1301,2020-03-08,Heat,Gabe Vincent,,activated from IL
1302,2020-03-08,Mavericks,,Michael Kidd-Gilchrist,placed on IL with illness
1303,2020-03-08,Mavericks,,Seth Curry,placed on IL with sprained left ankle
1304,2020-03-08,Mavericks,Tim Hardaway Jr.,,activated from IL
1305,2020-03-08,Pacers,T.J. Warren,,activated from IL
1306,2020-03-08,Pelicans,,Nickeil Alexander-Walker,placed on IL with fractured right wrist
1307,2020-03-08,Raptors,Marc Gasol,,activated from IL
1308,2020-03-08,Thunder,,Shai Gilgeous-Alexander,placed on IL with bruised right hip
1309,2020-03-08,Timberwolves,,Kelan Martin,placed on IL with sprained left ankle
1310,2020-03-08,Timberwolves,Evan Turner,,activated from IL
1311,2020-03-08,Wizards,,Anzejs Pasecniks,placed on IL with stiff neck
1312,2020-03-08,Wizards,,Ishmael Smith / Ish Smith,placed on IL with left hamstring injury
1313,2020-03-09,Bucks,,Eric Bledsoe,placed on IL with right knee injury
1314,2020-03-09,Bucks,,George Hill,placed on IL with right adductor injury
1315,2020-03-09,Spurs,Marco Belinelli,,activated from IL
1316,2020-03-10,76ers,Josh Richardson,,activated from IL
1317,2020-03-10,Knicks,Dennis Smith Jr.,,activated from IL
1318,2020-03-10,Lakers,,Dwight Howard,placed on IL with upset stomach
1319,2020-03-10,Mavericks,,Willie Cauley-Stein,placed on IL with illness
1320,2020-03-10,Mavericks,Dorian Finney-Smith,,activated from IL
1321,2020-03-10,Rockets,Eric Gordon,,activated from IL
1322,2020-03-10,Spurs,,Dejounte Murray,placed on IL with strained right calf
1323,2020-03-10,Spurs,LaMarcus Aldridge,,activated from IL
1324,2020-03-10,Warriors,Ky Bowman,,activated from IL
1325,2020-03-10,Wizards,,Isaac Bonga,placed on IL with groin injury
1326,2020-03-10,Wizards,Anzejs Pasecniks,,activated from IL
1327,2020-03-11,76ers,Joel Embiid,,activated from IL
1328,2020-03-11,Bucks,Eric Bledsoe,,activated from IL
1329,2020-03-11,Bucks,George Hill,,activated from IL
1330,2020-03-11,Heat,,Jimmy Butler,placed on IL with left big toe injury
1331,2020-03-11,Heat,Tyler Herro,,activated from IL
1332,2020-03-11,Hornets,,Terry Rozier,placed on IL with illness
1333,2020-03-11,Mavericks,,Dorian Finney-Smith,placed on IL with right hip injury
1334,2020-03-11,Mavericks,Michael Kidd-Gilchrist,,activated from IL
1335,2020-03-11,Mavericks,Willie Cauley-Stein,,activated from IL
1336,2020-03-11,Pistons,,John Henson,placed on IL with sprained left ankle (out for season)
1337,2020-03-11,Thunder,Shai Gilgeous-Alexander,,activated from IL
1338,2020-03-11,Warriors,Stephen Curry,,activated from IL
1339,2020-07-07,Nets,,Taurean Prince,COVID-19 coronavirus (out for season)
1340,2020-07-07,Nets,,Wilson Chandler,COVID-19 coronavirus (out indefinitely)
1341,2020-07-09,Wizards,Gary Payton II,,COVID-19 coronavirus (out indefinitely)
1342,2020-07-29,Celtics,Jaylen Brown,,activated from IL
1343,2020-07-29,Hornets,Terry Rozier,,activated from IL
1344,2020-07-29,Nets,Garrett Temple,,activated from IL
1345,2020-07-30,Bucks,,Eric Bledsoe,placed on IL with conditioning
1346,2020-07-30,Bucks,,Pat Connaughton,placed on IL with conditioning
1347,2020-07-30,Clippers,,Louis Williams / Lou Williams,placed on IL with quarantine for leaving bubble
1348,2020-07-30,Grizzlies,,Tyus Jones,placed on IL with sore right knee (out for season)
1349,2020-07-30,Kings,,Alex Len,placed on IL with conditioning
1350,2020-07-30,Lakers,,Rajon Rondo,placed on IL with fractured right thumb
1351,2020-07-30,Lakers,Dion Waiters,,activated from IL
1352,2020-07-30,Lakers,Dwight Howard,,activated from IL
1353,2020-07-30,Mavericks,,Michael Kidd-Gilchrist,placed on IL with conditioning
1354,2020-07-30,Pelicans,J.J. Redick,,activated from IL
1355,2020-07-30,Pelicans,Nickeil Alexander-Walker,,activated from IL
1356,2020-07-30,Spurs,,Bryn Forbes,placed on IL with right quadriceps injury (out for season)
1357,2020-07-31,76ers,Ben Simmons,,activated from IL
1358,2020-07-31,Blazers,Jusuf Nurkic,,activated from IL
1359,2020-07-31,Blazers,Zach Collins,,activated from IL
1360,2020-07-31,Bucks,,Marvin Williams,placed on IL with strained left groin
1361,2020-07-31,Bucks,Giannis Antetokounmpo,,activated from IL
1362,2020-07-31,Grizzlies,Brandon Clarke,,activated from IL
1363,2020-07-31,Grizzlies,Grayson Allen,,activated from IL
1364,2020-07-31,Grizzlies,Jaren Jackson Jr.,,activated from IL
1365,2020-07-31,Heat,Jimmy Butler,,activated from IL
1366,2020-07-31,Heat,Meyers Leonard,,activated from IL
1367,2020-07-31,Magic,,Wesley Iwundu / Wes Iwundu,placed on IL with stiff neck
1368,2020-07-31,Magic,Evan Fournier,,activated from IL
1369,2020-07-31,Magic,Jonathan Isaac,,activated from IL
1370,2020-07-31,Mavericks,Dorian Finney-Smith,,activated from IL
1371,2020-07-31,Mavericks,Seth Curry,,activated from IL
1372,2020-07-31,Nets,,Jamal Crawford,placed on IL with conditioning
1373,2020-07-31,Nets,,Nicolas Claxton / Nic Claxton,placed on IL recovering from surgery on shoulder (out for season)
1374,2020-07-31,Nets,,Wilson Chandler,placed on IL (out for season)
1375,2020-07-31,Nuggets,,Gary Harris,placed on IL with strained right hip
1376,2020-07-31,Nuggets,,Vlatko Cancar,placed on IL with fractured left foot (out for season)
1377,2020-07-31,Nuggets,,Will Barton,placed on IL with sore right knee (out for season)
1378,2020-07-31,Nuggets,Bol Bol,,activated from IL
1379,2020-07-31,Pacers,,Domantas Sabonis,placed on IL with left foot injury (out for season)
1380,2020-07-31,Pacers,Doug McDermott,,activated from IL
1381,2020-07-31,Raptors,Dewan Hernandez,,activated from IL
1382,2020-07-31,Raptors,Fred VanVleet,,activated from IL
1383,2020-07-31,Rockets,,Bruno Caboclo,placed on IL with sprained right ankle
1384,2020-07-31,Rockets,,Eric Gordon,placed on IL with sprained left ankle
1385,2020-07-31,Rockets,Michael Frazier II,,activated from IL
1386,2020-07-31,Spurs,Dejounte Murray,,activated from IL
1387,2020-07-31,Spurs,Jakob Poeltl,,activated from IL
1388,2020-07-31,Suns,Frank Kaminsky,,activated from IL
1389,2020-07-31,Thunder,Andre Roberson,,activated from IL
1390,2020-07-31,Thunder,Darius Bazley,,activated from IL
1391,2020-07-31,Wizards,,Gary Payton II,placed on IL with COVID-19 coronavirus
1392,2020-07-31,Wizards,Isaac Bonga,,activated from IL
1393,2020-07-31,Wizards,Ishmael Smith / Ish Smith,,activated from IL
1394,2020-08-01,76ers,,(James) Mike Scott,placed on IL with sore right knee
1395,2020-08-01,76ers,,Glenn Robinson III,placed on IL with left hip pointer
1396,2020-08-01,Heat,,Gabe Vincent,placed on IL
1397,2020-08-01,Heat,,K.Z. Okpala,placed on IL with Achilles injury
1398,2020-08-01,Nuggets,,Jamal Murray,placed on IL with left hamstring injury
1399,2020-08-01,Pacers,,Malcolm Brogdon,placed on IL with cervical strain
1400,2020-08-01,Raptors,,Oshae Brissett,placed on IL with sore right knee
1401,2020-08-01,Raptors,,Patrick McCaw,placed on IL with sore left knee (out for season)
1402,2020-08-02,Bucks,Marvin Williams,,activated from IL
1403,2020-08-02,Magic,Wesley Iwundu / Wes Iwundu,,activated from IL
1404,2020-08-02,Mavericks,Michael Kidd-Gilchrist,,activated from IL
1405,2020-08-02,Spurs,,Marco Belinelli,placed on IL with sprained left foot
1406,2020-08-03,Bucks,,Wesley Matthews / Wes Matthews Jr.,placed on IL with right calf injury
1407,2020-08-03,Bucks,Eric Bledsoe,,activated from IL
1408,2020-08-03,Bucks,Pat Connaughton,,activated from IL
1409,2020-08-03,Heat,Gabe Vincent,,activated from IL
1410,2020-08-03,Heat,K.Z. Okpala,,activated from IL
1411,2020-08-03,Pacers,Malcolm Brogdon,,activated from IL
1412,2020-08-03,Thunder,,Terrance Ferguson,placed on IL with lower leg injury
1413,2020-08-04,Clippers,Louis Williams / Lou Williams,,activated from IL
1414,2020-08-04,Heat,,Jimmy Butler,placed on IL with sore right ankle
1415,2020-08-04,Jazz,,Nigel Williams-Goss,placed on IL with sprained left ankle
1416,2020-08-04,Kings,Alex Len,,activated from IL
1417,2020-08-04,Magic,,Jonathan Isaac,placed on IL with torn ACL in left knee (out for season)
1418,2020-08-04,Mavericks,,Seth Curry,placed on IL with right leg injury
1419,2020-08-04,Nets,Jamal Crawford,,activated from IL
1420,2020-08-04,Suns,Jalen Lecque,,activated from IL
1421,2020-08-04,Thunder,,Mike Muscala,placed on IL with concussion
1422,2020-08-05,Clippers,,Patrick Beverley,placed on IL with strained left calf
1423,2020-08-05,Grizzlies,,Jaren Jackson Jr.,placed on IL with torn meniscus in left knee (out for season)
1424,2020-08-05,Lakers,,Dwight Howard,placed on IL with sore right knee
1425,2020-08-05,Magic,,Michael Carter-Williams,placed on IL with left foot injury (out for season)
1426,2020-08-05,Nets,,Jamal Crawford,placed on IL with strained left hamstring (out for season)
1427,2020-08-05,Spurs,Marco Belinelli,,activated from IL
1428,2020-08-05,Suns,,Aron Baynes,placed on IL with right knee injury / conditioning
1429,2020-08-05,Suns,,Elie Okobo,placed on IL with sprained right ankle
1430,2020-08-06,Bucks,Wesley Matthews / Wes Matthews Jr.,,activated from IL
1431,2020-08-06,Heat,,Gabe Vincent,placed on IL with sore right knee
1432,2020-08-06,Heat,,Goran Dragic,placed on IL with sprained left ankle
1433,2020-08-06,Jazz,,Donovan Mitchell,placed on IL with left leg injury
1434,2020-08-06,Jazz,,Mike Conley Jr.,placed on IL with sore right knee
1435,2020-08-06,Jazz,,Royce O'Neale,placed on IL with right calf injury
1436,2020-08-06,Lakers,,Alex Caruso,placed on IL with neck spasms
1437,2020-08-06,Lakers,,LeBron James,placed on IL with right groin injury
1438,2020-08-06,Lakers,Dwight Howard,,activated from IL
1439,2020-08-06,Nuggets,,Troy Daniels,placed on IL with right hip injury
1440,2020-08-06,Pacers,,Doug McDermott,placed on IL with sore right knee
1441,2020-08-06,Rockets,,Russell Westbrook,placed on IL with bruised right quadriceps
1442,2020-08-07,76ers,,Ben Simmons,placed on IL with dislocated kneecap in left knee (out for season)
1443,2020-08-07,76ers,(James) Mike Scott,,activated from IL
1444,2020-08-07,Kings,,Kent Bazemore,placed on IL with left calf injury (out for season)
1445,2020-08-07,Magic,,Aaron Gordon,placed on IL with strained left hamstring (out for season)
1446,2020-08-07,Pelicans,,Zion Williamson,placed on IL
1447,2020-08-07,Raptors,Oshae Brissett,,activated from IL
1448,2020-08-07,Thunder,,Steven Adams,placed on IL with bruised lower left leg
1449,2020-08-07,Thunder,Terrance Ferguson,,activated from IL
1450,2020-08-08,Blazers,,Hassan Whiteside,placed on IL with strained left hip
1451,2020-08-08,Heat,Gabe Vincent,,activated from IL
1452,2020-08-08,Jazz,,Emmanuel Mudiay,placed on IL with sore left knee
1453,2020-08-08,Jazz,,Juwan Morgan,placed on IL with sore right knee
1454,2020-08-08,Jazz,Donovan Mitchell,,activated from IL
1455,2020-08-08,Jazz,Mike Conley Jr.,,activated from IL
1456,2020-08-08,Jazz,Royce O'Neale,,activated from IL
1457,2020-08-08,Kings,,Richaun Holmes,placed on IL with sore right hip (out for season)
1458,2020-08-08,Lakers,,Danny Green,placed on IL with right hip injury
1459,2020-08-08,Lakers,Alex Caruso,,activated from IL
1460,2020-08-08,Lakers,LeBron James,,activated from IL
1461,2020-08-08,Mavericks,Seth Curry,,activated from IL
1462,2020-08-08,Nuggets,Jamal Murray,,activated from IL
1463,2020-08-08,Nuggets,Troy Daniels,,activated from IL
1464,2020-08-08,Pacers,Doug McDermott,,activated from IL
1465,2020-08-08,Thunder,Mike Muscala,,activated from IL
1466,2020-08-09,76ers,Glenn Robinson III,,activated from IL
1467,2020-08-09,Jazz,Emmanuel Mudiay,,activated from IL
1468,2020-08-09,Lakers,,Kentavious Caldwell-Pope,placed on IL with bruised right foot
1469,2020-08-09,Magic,,Evan Fournier,placed on IL with illness
1470,2020-08-09,Mavericks,,Dorian Finney-Smith,placed on IL with left hip injury
1471,2020-08-09,Pelicans,Zion Williamson,,activated from IL
1472,2020-08-09,Rockets,Bruno Caboclo,,activated from IL
1473,2020-08-09,Thunder,,Andre Roberson,placed on IL with sore right ankle
1474,2020-08-09,Wizards,,Shabazz Napier,placed on IL with sprained right ankle (out for season)
1475,2020-08-10,76ers,,Joel Embiid,placed on IL with left ankle injury
1476,2020-08-10,Bucks,,Giannis Antetokounmpo,placed on IL with toothache
1477,2020-08-10,Heat,Goran Dragic,,activated from IL
1478,2020-08-10,Heat,Jimmy Butler,,activated from IL
1479,2020-08-10,Jazz,,Donovan Mitchell,placed on IL with left leg injury
1480,2020-08-10,Kings,,De'Aaron Fox,placed on IL with sore left shoulder (out for season)
1481,2020-08-10,Lakers,Danny Green,,activated from IL
1482,2020-08-10,Magic,,Terrence Ross,placed on IL with medical tests
1483,2020-08-10,Nuggets,,Jerami Grant,placed on IL with sore right knee
1484,2020-08-10,Pelicans,,Jrue Holiday,placed on IL with right elbow injury (out for season)
1485,2020-08-10,Pelicans,,Zion Williamson,placed on IL with sore right knee (out for season)
1486,2020-08-10,Raptors,,Fred VanVleet,placed on IL with right knee injury
1487,2020-08-10,Raptors,,Kyle Lowry,placed on IL with sore lower back
1488,2020-08-10,Raptors,,Oshae Brissett,placed on IL with surgery on right knee (out for season)
1489,2020-08-10,Raptors,,Serge Ibaka,placed on IL with bruised right knee
1490,2020-08-10,Thunder,,Danilo Gallinari,placed on IL with left ankle injury
1491,2020-08-10,Thunder,,Nerlens Noel,placed on IL with sore right ankle
1492,2020-08-10,Thunder,,Shai Gilgeous-Alexander,placed on IL with right calf injury
1493,2020-08-10,Thunder,Andre Roberson,,activated from IL
1494,2020-08-11,Blazers,Hassan Whiteside,,activated from IL
1495,2020-08-11,Bucks,,Donte DiVincenzo,placed on IL with right elbow injury
1496,2020-08-11,Bucks,,Eric Bledsoe,placed on IL with sore right knee
1497,2020-08-11,Bucks,,Wesley Matthews / Wes Matthews Jr.,placed on IL with right adductor injury
1498,2020-08-11,Bucks,Giannis Antetokounmpo,,activated from IL
1499,2020-08-11,Clippers,,Landry Shamet,placed on IL with sprained left foot
1500,2020-08-11,Mavericks,,Seth Curry,placed on IL with right leg injury
1501,2020-08-11,Mavericks,Dorian Finney-Smith,,activated from IL
1502,2020-08-11,Pacers,,T.J. Warren,placed on IL with sore right foot
1503,2020-08-11,Rockets,,Danuel House Jr.,placed on IL with sore left toe
1504,2020-08-11,Rockets,,Tyson Chandler,placed on IL with shoulder injury
1505,2020-08-11,Rockets,Russell Westbrook,,activated from IL
1506,2020-08-11,Suns,Aron Baynes,,activated from IL
1507,2020-08-11,Suns,Elie Okobo,,activated from IL
1508,2020-08-12,76ers,,Alec Burks,placed on IL with sore left foot
1509,2020-08-12,76ers,Joel Embiid,,activated from IL
1510,2020-08-12,Bucks,Donte DiVincenzo,,activated from IL
1511,2020-08-12,Bucks,Eric Bledsoe,,activated from IL
1512,2020-08-12,Celtics,,Daniel Theis,placed on IL with sore right foot
1513,2020-08-12,Celtics,,Jayson Tatum,placed on IL with sprained left ankle
1514,2020-08-12,Celtics,,Kemba Walker,placed on IL with left knee injury
1515,2020-08-12,Heat,,Kendrick Nunn,placed on IL with throat
1516,2020-08-12,Jazz,,Mike Conley Jr.,placed on IL with sore right knee
1517,2020-08-12,Jazz,,Rudy Gobert,placed on IL with sore lower back
1518,2020-08-12,Jazz,Donovan Mitchell,,activated from IL
1519,2020-08-12,Jazz,Juwan Morgan,,activated from IL
1520,2020-08-12,Lakers,,Alex Caruso,placed on IL with neck spasms
1521,2020-08-12,Nuggets,Jerami Grant,,activated from IL
1522,2020-08-12,Pacers,,Malcolm Brogdon,placed on IL with sore neck
1523,2020-08-12,Raptors,,Ogugua Anunoby / O.G. Anunoby,placed on IL with sore right knee
1524,2020-08-12,Raptors,Fred VanVleet,,activated from IL
1525,2020-08-12,Raptors,Kyle Lowry,,activated from IL
1526,2020-08-12,Rockets,,Russell Westbrook,placed on IL with strained right quadriceps
1527,2020-08-12,Rockets,Eric Gordon,,activated from IL
1528,2020-08-12,Rockets,Tyson Chandler,,activated from IL
1529,2020-08-12,Thunder,Danilo Gallinari,,activated from IL
1530,2020-08-12,Thunder,Nerlens Noel,,activated from IL
1531,2020-08-12,Thunder,Shai Gilgeous-Alexander,,activated from IL
1532,2020-08-12,Thunder,Steven Adams,,activated from IL
1533,2020-08-13,76ers,Alec Burks,,activated from IL
1534,2020-08-13,Blazers,,Nassir Little,placed on IL with dehydraftion
1535,2020-08-13,Bucks,,Ersan Ilyasova,placed on IL with sprained right elbow
1536,2020-08-13,Heat,,Gabe Vincent,placed on IL with sprained right shoulder
1537,2020-08-13,Heat,Kendrick Nunn,,activated from IL
1538,2020-08-13,Jazz,,Emmanuel Mudiay,placed on IL with sore left knee
1539,2020-08-13,Jazz,Nigel Williams-Goss,,activated from IL
1540,2020-08-13,Lakers,,Anthony Davis,placed on IL with sore right knee
1541,2020-08-13,Mavericks,,Kristaps Porzingis,placed on IL with bruised left heel
1542,2020-08-13,Mavericks,Seth Curry,,activated from IL
